{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
7036;8.88E-05;5.70019E-05;1.41E-05;0.000114155;0;0.2484;0.45302439;0.410615305;0
7037;8.45E-05;5.97913E-05;3.76E-05;0.000114155;0;0.2564;0.43297561;0.409832708;0
7038;8.51E-05;6.56468E-05;9.40E-05;0.000114155;0;0.267;0.417365854;0.409088287;0
7039;9.29657E-05;7.26069E-05;0.0001821;0.000114155;0;0.2724;0.399804878;0.408334321;0
7040;0.000106544;7.93037E-05;0.000158603;0.000114155;5.39084E-05;0.2654;0.377707317;0.407551724;5.39084E-05
7041;0.000118352;8.49718E-05;0.000146855;0.000114155;0.000485175;0.2742;0.342146341;0.406807302;0.000485175
7042;0.000122669;8.95643E-05;0.000164478;0.000114155;0.037088949;0.2948;0.31002439;0.406024705;0.037088949
7043;0.000126417;8.87565E-05;0.000187974;0.000114155;0.139245283;0.289;0.286146341;0.405280284;0.139245283
7044;0.000128662;8.39966E-05;0.000206772;0.000114155;0.224959569;0.2558;0.268536585;0.404497687;0.224959569
7045;0.000132072;7.7706E-05;0.000187974;0.000114155;0.286846361;0.2258;0.24104878;0.403743721;0.286846361
7046;0.000132299;7.32943E-05;0.000190324;0.000114155;0.313530997;0.2054;0.214097561;0.402970668;0.313530997
7047;0.000128761;6.8463E-05;0.000213821;0.000114155;0.290188679;0.1601;0.18204878;0.402216703;0.290188679
7048;0.000124715;6.41852E-05;0.00022322;0.000114155;0.26819407;0.1097;0.141658537;0.40144365;0.26819407
7049;0.000120691;6.58655E-05;0.00022322;0.000114155;0.206199461;0.1087;0.121439024;0.400689684;0.206199461
7050;0.000115658;7.11364E-05;0.000164478;0.000114155;0.129056604;0.1254;0.126097561;0.399916631;0.129056604
7051;0.000115559;8.12853E-05;0.000117484;0.000114155;0.042102426;0.1264;0.138073171;0.399162666;0.042102426
7052;0.000126055;8.40479E-05;8.81E-05;0.000114155;0.001455526;0.1216;0.141170732;0.398389612;0.001455526
7053;0.000128375;8.77076E-05;5.87E-05;0.000114155;0;0.1118;0.134756098;0.397635647;0
7054;0.000117502;8.75916E-05;3.76E-05;0.000114155;0;0.1004;0.129;0.396862594;0
7055;0.000109836;9.00775E-05;2.35E-05;0.000114155;0;0.0955;0.117097561;0.396108628;0
7056;0.00011588;9.25344E-05;9.40E-06;0.000114155;0;0.0866;0.099146341;0.395354663;0
7057;1.12E-04;9.55983E-05;5.87E-06;0.000114155;0;0.0749;0.091195122;0.39458161;0
7058;9.95E-05;9.96061E-05;2.35E-06;0.000114155;0;0.075;0.099073171;0.393827644;0
7059;9.61E-05;0.000100885;1.17E-06;0.000114155;0;0.0704;0.120878049;0.393054591;0
7060;9.06E-05;0.000103232;1.41E-05;0.000114155;0;0.0593;0.133731707;0.392300626;0
7061;8.59E-05;0.0001071;3.76E-05;0.000114155;0;0.0505;0.151146341;0.391527572;0
7062;8.57E-05;0.00011449;9.40E-05;0.000114155;5.39084E-05;0.0563;0.158658537;0.390773607;5.39084E-05
7063;9.30105E-05;0.000122131;0.0001821;0.000114155;5.39084E-05;0.0577;0.152146341;0.390000554;5.39084E-05
7064;0.00010633;0.000129022;0.000158603;0.000114155;5.39084E-05;0.0509;0.139707317;0.389246588;5.39084E-05
7065;0.000118339;0.000134601;0.000146855;0.000114155;0.000377358;0.0421;0.138707317;0.388463991;0.000377358
7066;0.000121733;0.000138946;0.000164478;0.000114155;0.02722372;0.0369;0.153390244;0.38771957;0.02722372
7067;0.000124762;0.000135281;0.000187974;0.000114155;0.093369272;0.0489;0.179121951;0.386936973;0.093369272
7068;0.000127202;0.000126951;0.000206772;0.000114155;0.166630728;0.0663;0.201121951;0.386192551;0.166630728
7069;0.000131945;0.000117164;0.000187974;0.000114155;0.207331536;0.0802;0.216731707;0.385409954;0.207331536
7070;0.000130862;0.00011052;0.000190324;0.000114155;0.228625337;0.1043;0.238609756;0.384655989;0.228625337
7071;0.000127204;0.000103284;0.000213821;0.000114155;0.202587601;0.1335;0.276317073;0.383911567;0.202587601
7072;0.000123071;9.73969E-05;0.00022322;0.000114155;0.181293801;0.1537;0.303121951;0.38312897;0.181293801
7073;0.000118217;9.93896E-05;0.00022322;0.000114155;0.138760108;0.191;0.341780488;0.382384549;0.138760108
7074;0.000114291;0.000105582;0.000164478;0.000114155;0.072075472;0.2427;0.381219512;0.381601952;0.072075472
7075;0.00011361;0.00011663;0.000117484;0.000114155;0.01671159;0.2645;0.433682927;0.38085753;0.01671159
7076;0.000125014;0.00011742;8.81E-05;0.000114155;0.000431267;0.2677;0.495292683;0.380074933;0.000431267
7077;0.000127361;0.000118429;5.87E-05;0.000114155;0;0.2575;0.512195122;0.379320967;0
7078;0.000116079;0.000114566;3.76E-05;0.000114155;0;0.2488;0.503585366;0.378547914;0
7079;0.000107743;0.000113564;2.35E-05;0.000114155;0;0.2483;0.497170732;0.377793949;0
7080;0.00011435;0.000111259;9.40E-06;0.000114155;0;0.2593;0.502146341;0.377020896;0
7081;1.11E-04;0.00010924;5.87E-06;0.000114155;0;0.2633;0.515439024;0.37626693;0
7082;9.90E-05;0.000107691;2.35E-06;0.000114155;0;0.2493;0.530390244;0.375493877;0
7083;9.64E-05;0.000102572;1.17E-06;0.000114155;0;0.2299;0.563195122;0.374739912;0
7084;9.08E-05;9.83922E-05;1.41E-05;0.000114155;0;0.2399;0.610195122;0.373966858;0
7085;8.74E-05;9.58259E-05;3.76E-05;0.000114155;0;0.2507;0.657585366;0.373212893;0
7086;8.74E-05;9.65779E-05;9.40E-05;0.000114155;0;0.2473;0.676707317;0.37243984;0
7087;9.49115E-05;9.76357E-05;0.0001821;0.000114155;0;0.2423;0.677097561;0.371685874;0
7088;0.000108772;9.79213E-05;0.000158603;0.000114155;0;0.218;0.665073171;0.370931909;0
7089;0.000121319;9.68457E-05;0.000146855;0.000114155;0.000808625;0.2163;0.63497561;0.370158856;0.000808625
7090;0.000125081;9.48976E-05;0.000164478;0.000114155;0.020592992;0.2326;0.604097561;0.36940489;0.020592992
7091;0.000128868;8.7942E-05;0.000187974;0.000114155;0.063126685;0.2119;0.564195122;0.368631837;0.063126685
7092;0.000132212;7.8574E-05;0.000206772;0.000114155;0.103018868;0.1934;0.533121951;0.367877872;0.103018868
7093;0.000137063;6.88602E-05;0.000187974;0.000114155;0.134339623;0.1907;0.451463415;0.367104819;0.134339623
7094;0.000138047;6.17261E-05;0.000190324;0.000114155;0.17148248;0.2094;0.340731707;0.366350853;0.17148248
7095;0.000134477;5.49199E-05;0.000213821;0.000114155;0.191428571;0.2076;0.267;0.365568256;0.191428571
